ts,username,ip,result
2025-03-21T12:00:08Z,alice,10.0.0.4,OK
2025-03-21T12:00:11Z,alice,10.0.0.9,OK
2025-03-21T12:00:19Z,alice,10.0.0.7,FAIL
2025-03-21T12:00:20Z,frank,10.0.0.8,OK
2025-03-21T12:00:23Z,carol,10.0.0.2,OK
2025-03-21T12:00:32Z,bob,10.0.0.7,OK
2025-03-21T12:00:41Z,alice,10.0.0.6,OK
2025-03-21T12:00:45Z,alice,10.0.0.6,OK
2025-03-21T12:00:49Z,frank,10.0.0.8,FAIL
2025-03-21T12:00:52Z,alice,10.0.0.10,OK
2025-03-21T12:01:01Z,frank,10.0.0.8,OK
2025-03-21T12:01:05Z,alice,10.0.0.5,OK
2025-03-21T12:01:09Z,frank,10.0.0.10,FAIL
2025-03-21T12:01:19Z,frank,10.0.0.9,OK
2025-03-21T12:01:21Z,carol,10.0.0.10,OK
2025-03-21T12:01:22Z,dave,10.0.0.4,FAIL
2025-03-21T12:01:28Z,frank,10.0.0.5,OK
2025-03-21T12:01:31Z,carol,10.0.0.8,FAIL
2025-03-21T12:01:37Z,carol,10.0.0.8,FAIL
2025-03-21T12:01:45Z,eve,10.0.0.3,FAIL
2025-03-21T12:01:52Z,frank,10.0.0.8,OK
2025-03-21T12:01:57Z,frank,10.0.0.5,FAIL
2025-03-21T12:01:58Z,alice,10.0.0.10,OK
2025-03-21T12:01:59Z,frank,10.0.0.4,FAIL
2025-03-21T12:02:08Z,alice,10.0.0.6,FAIL
2025-03-21T12:02:12Z,dave,10.0.0.2,FAIL
2025-03-21T12:02:13Z,carol,10.0.0.3,FAIL
2025-03-21T12:02:17Z,dave,10.0.0.6,FAIL
2025-03-21T12:02:24Z,eve,10.0.0.5,FAIL
2025-03-21T12:02:32Z,dave,10.0.0.3,OK
2025-03-21T12:02:35Z,alice,10.0.0.6,OK
2025-03-21T12:02:38Z,eve,10.0.0.6,FAIL
2025-03-21T12:02:39Z,carol,10.0.0.1,FAIL
2025-03-21T12:02:41Z,bob,10.0.0.1,FAIL
2025-03-21T12:02:48Z,frank,10.0.0.1,FAIL
2025-03-21T12:02:49Z,dave,10.0.0.4,OK
2025-03-21T12:02:55Z,frank,10.0.0.8,OK
2025-03-21T12:02:57Z,eve,10.0.0.4,FAIL
2025-03-21T12:03:00Z,alice,10.0.0.1,OK
2025-03-21T12:03:03Z,alice,10.0.0.9,FAIL
2025-03-21T12:03:08Z,dave,10.0.0.3,FAIL
2025-03-21T12:03:17Z,eve,10.0.0.2,FAIL
2025-03-21T12:03:26Z,bob,10.0.0.7,FAIL
2025-03-21T12:03:27Z,alice,10.0.0.1,FAIL
2025-03-21T12:03:36Z,carol,10.0.0.10,OK
2025-03-21T12:03:40Z,frank,10.0.0.10,OK
2025-03-21T12:03:47Z,carol,10.0.0.10,OK
2025-03-21T12:03:57Z,frank,10.0.0.5,FAIL
2025-03-21T12:04:04Z,frank,10.0.0.8,FAIL
2025-03-21T12:04:08Z,alice,10.0.0.7,OK
2025-03-21T12:04:10Z,frank,10.0.0.7,FAIL
2025-03-21T12:04:19Z,bob,10.0.0.1,OK
2025-03-21T12:04:22Z,eve,10.0.0.4,OK
2025-03-21T12:04:29Z,carol,10.0.0.8,FAIL
2025-03-21T12:04:37Z,bob,10.0.0.8,FAIL
2025-03-21T12:04:44Z,eve,10.0.0.8,OK
2025-03-21T12:04:53Z,frank,10.0.0.9,OK
2025-03-21T12:04:56Z,frank,10.0.0.6,OK
2025-03-21T12:05:04Z,carol,10.0.0.8,OK
2025-03-21T12:05:11Z,alice,10.0.0.4,OK
2025-03-21T12:05:13Z,bob,10.0.0.1,FAIL
2025-03-21T12:05:22Z,eve,10.0.0.1,OK
2025-03-21T12:05:29Z,bob,10.0.0.1,FAIL
2025-03-21T12:05:35Z,frank,10.0.0.2,FAIL
2025-03-21T12:05:41Z,frank,10.0.0.9,OK
2025-03-21T12:05:49Z,dave,10.0.0.2,OK
2025-03-21T12:05:56Z,eve,10.0.0.4,OK
2025-03-21T12:05:57Z,bob,10.0.0.9,OK
2025-03-21T12:06:07Z,dave,10.0.0.9,FAIL
2025-03-21T12:06:10Z,carol,10.0.0.10,FAIL
2025-03-21T12:06:15Z,alice,10.0.0.9,FAIL
2025-03-21T12:06:23Z,bob,10.0.0.6,OK
2025-03-21T12:06:26Z,frank,10.0.0.4,FAIL
2025-03-21T12:06:32Z,eve,10.0.0.3,OK
2025-03-21T12:06:37Z,frank,10.0.0.6,OK
2025-03-21T12:06:38Z,dave,10.0.0.4,FAIL
2025-03-21T12:06:42Z,eve,10.0.0.1,OK
2025-03-21T12:06:52Z,frank,10.0.0.4,OK
2025-03-21T12:06:56Z,bob,10.0.0.3,OK
2025-03-21T12:07:00Z,carol,10.0.0.8,FAIL
2025-03-21T12:07:07Z,frank,10.0.0.9,FAIL
2025-03-21T12:07:12Z,eve,10.0.0.7,FAIL
2025-03-21T12:07:21Z,bob,10.0.0.9,FAIL
2025-03-21T12:07:27Z,dave,10.0.0.9,FAIL
2025-03-21T12:07:28Z,bob,10.0.0.8,OK
2025-03-21T12:07:38Z,eve,10.0.0.5,OK
2025-03-21T12:07:39Z,bob,10.0.0.3,FAIL
2025-03-21T12:07:43Z,frank,10.0.0.7,OK
2025-03-21T12:07:49Z,eve,10.0.0.7,OK
2025-03-21T12:07:56Z,frank,10.0.0.5,FAIL
2025-03-21T12:08:06Z,alice,10.0.0.1,OK
2025-03-21T12:08:08Z,eve,10.0.0.6,FAIL
2025-03-21T12:08:11Z,bob,10.0.0.7,OK
2025-03-21T12:08:19Z,dave,10.0.0.8,FAIL
2025-03-21T12:08:22Z,dave,10.0.0.9,FAIL
2025-03-21T12:08:24Z,bob,10.0.0.3,FAIL
2025-03-21T12:08:26Z,dave,10.0.0.4,OK
2025-03-21T12:08:30Z,alice,10.0.0.9,OK
2025-03-21T12:08:37Z,frank,10.0.0.2,FAIL
2025-03-21T12:08:47Z,eve,10.0.0.7,FAIL
2025-03-21T12:08:53Z,frank,10.0.0.2,FAIL
2025-03-21T12:09:01Z,frank,10.0.0.8,OK
2025-03-21T12:09:11Z,eve,10.0.0.1,FAIL
2025-03-21T12:09:19Z,bob,10.0.0.7,FAIL
2025-03-21T12:09:22Z,alice,10.0.0.9,OK
2025-03-21T12:09:27Z,alice,10.0.0.4,FAIL
2025-03-21T12:09:37Z,frank,10.0.0.7,FAIL
2025-03-21T12:09:45Z,alice,10.0.0.10,FAIL
2025-03-21T12:09:53Z,eve,10.0.0.7,FAIL
2025-03-21T12:10:03Z,carol,10.0.0.5,OK
2025-03-21T12:10:06Z,dave,10.0.0.3,FAIL
2025-03-21T12:10:13Z,frank,10.0.0.6,FAIL
2025-03-21T12:10:19Z,alice,10.0.0.5,OK
2025-03-21T12:10:22Z,alice,10.0.0.9,OK
2025-03-21T12:10:29Z,eve,10.0.0.7,OK
2025-03-21T12:10:35Z,eve,10.0.0.10,FAIL
2025-03-21T12:10:36Z,alice,10.0.0.7,OK
2025-03-21T12:10:44Z,alice,10.0.0.6,OK
2025-03-21T12:10:48Z,bob,10.0.0.8,FAIL
2025-03-21T12:10:50Z,eve,10.0.0.1,FAIL
2025-03-21T12:10:51Z,dave,10.0.0.9,FAIL
2025-03-21T12:11:00Z,frank,10.0.0.7,FAIL
2025-03-21T12:11:03Z,eve,10.0.0.9,FAIL
2025-03-21T12:11:04Z,dave,10.0.0.1,OK
2025-03-21T12:11:09Z,eve,10.0.0.3,OK
2025-03-21T12:11:17Z,bob,10.0.0.2,OK
2025-03-21T12:11:23Z,eve,10.0.0.4,OK
